slug,platform,ntsc
nfl-quarterback-club-96,snes,yes
nhl-94,snes,yes
nhl-95,snes,yes
nhl-96,snes,yes
nhl-97,snes,yes
nhl-98,snes,yes
nhl-stanley-cup,snes,yes
nhlpa-hockey-93,snes,yes
nickelodeon-guts,snes,yes
nigel-mansells-world-championship-racing,snes,yes
ninja-gaiden-trology,snes,yes
ninja-warriors,snes,yes
no-escape,snes,yes
nobunagas-ambition,snes,yes
nobunagas-ambition-lord-of-darkness,snes,yes
nolan-ryans-baseball,snes,yes
nosferatu,snes,yes
obitus,snes,yes
ogre-battle-the-march-of-the-black-queen,snes,yes
olympic-summer-games,snes,yes
on-the-ball,snes,yes
operation-europe-path-to-victory-1939-1945,snes,yes
operation-logic-bomb,snes,yes
operation-thunderbolt,snes,yes
oscar,snes,yes
out-of-this-world,snes,yes
out-to-lunch,snes,yes
outlander,snes,yes
pto-pacific-theater-of-operations,snes,yes
pto-ii-pacific-theater-of-operations,snes,yes
pac-attack,snes,yes
pac-in-time,snes,yes
pac-man-2-the-new-adventures,snes,yes
packy-and-marlon,snes,yes
the-pagemaster,snes,yes
paladins-quest,snes,yes
paperboy-2,snes,yes
the-peace-keepers,snes,yes
pga-european-tour,snes,yes
pga-tour-96,snes,yes
pga-tour-golf,snes,yes
phalanx,snes,yes
phantom-2040,snes,yes
pieces,snes,yes
pilotwings,snes,yes
pinball-dreams,snes,yes
pinball-fantasies,snes,yes
pink-goes-to-hollywood,snes,yes
pirates-of-dark-water,snes,yes
pitfall-the-mayan-adventure,snes,yes
pit-fighter,snes,yes
plok,snes,yes
pocky-and-rocky,snes,yes
pocky-and-rocky-2,snes,yes
populous,snes,yes
porky-pigs-haunted-holiday,snes,yes
power-instinct,snes,yes
power-moves,snes,yes
power-piggs-of-the-dark-age,snes,yes
power-rangers-zeo-battle-racers,snes,yes
prehistorik-man,snes,yes
primal-rage,snes,yes
prince-of-persia,snes,yes
prince-of-persia-2-the-shadow-and-the-flame,snes,yes
pro-quarterback,snes,yes
pro-sport-hockey,snes,yes
pushover,snes,yes
q-bert-3,snes,yes
race-drivin,snes,yes
radical-rex,snes,yes
raiden-trad,snes,yes
rampart,snes,yes
ranma-1-2-hard-battle,snes,yes
rap-jam-volume-1,snes,yes
realm,snes,yes
redline-f-1-racer,snes,yes
relief-pitcher,snes,yes
the-ren-and-stimpy-show-buckeroos,snes,yes
the-ren-and-stimpy-show-fire-dogs,snes,yes
the-ren-and-stimpy-show-time-warp,snes,yes
the-ren-and-stimpy-show-veediots,snes,yes
revolution-x,snes,yes
rex-ronan-experimental-surgeon,snes,yes
riddick-bowe-boxing,snes,yes
rise-of-the-phoenix,snes,yes
rise-of-the-robots,snes,yes
rival-turf,snes,yes
road-riot-4wd,snes,yes
road-runners-death-valley-rally,snes,yes
robocop-3,snes,yes
robocop-versus-the-terminator,snes,yes
robotrek,snes,yes
rock-n-roll-racing,snes,yes
the-rocketeer,snes,yes
rockos-modern-life-spunkys-dangerous-day,snes,yes
rocky-rodent,snes,yes
roger-clemens-mvp-baseball,snes,yes
romance-of-the-three-kingdoms-ii,snes,yes
romance-of-the-three-kingdoms-iii-dragon-of-destiny,snes,yes
romance-of-the-three-kingdoms-iv-wall-of-fire,snes,yes
rpm-racing,snes,yes
r-type-iii-the-third-lightning,snes,yes
run-saber,snes,yes
samurai-shodown,snes,yes
saturday-night-slam-masters,snes,yes
scooby-doo-mystery,snes,yes
seaquest-dsv,snes,yes
secret-of-evermore,snes,yes
secret-of-mana,snes,yes
secret-of-the-stars,snes,yes
shadowrun,snes,yes
shanghai-ii-dragons-eye,snes,yes
shaq-fu,snes,yes
shiens-revenge,snes,yes
side-pocket,snes,yes
simant,snes,yes
simcity,snes,yes
simcity-2000,snes,yes
simearth,snes,yes
the-simpsons-barts-nightmare,snes,yes
sink-or-swim,snes,yes
skuljagger-revolt-of-the-westicans,snes,yes
skyblazer,snes,yes
smart-ball,snes,yes
snow-while-happily-ever-after,snes,yes
soccer-kid,snes,yes
soldiers-of-fortune,snes,yes
sonic-blast-man,snes,yes
sonic-blast-man-ii,snes,
sos,snes,yes
soul-blazer,snes,yes
space-ace,snes,yes
space-football-one-on-one,snes,yes
space-invaders,snes,yes
space-megaforce,snes,yes
spankys-quest,snes,yes
sparkster,snes,yes
spectre,snes,yes
speed-racer-in-my-most-dangerous-adventures,snes,yes
speedy-gonzales-los-gatos-banditos,snes,yes
spider-man,snes,yes
spider-man-and-vemon-maximum-carnage,snes,yes
spider-man-and-the-x-men-in-arcades-revenge,snes,yes
spindizzy-worlds,snes,yes
the-sporting-news-power-baseball,snes,yes
sports-illustrated-championship-football-and-baseball,snes,yes
star-fox,snes,yes
star-trek-deep-space-nine-crossroads-of-time,snes,yes
star-trek-starfleet-academy-starship-bridge-simulator,snes,yes
star-trek-the-next-generation-futures-past,snes,yes
stargate,snes,yes
steel-talons,snes,yes
sterling-sharpe-end-2-end,snes,yes
stone-protectors,snes,yes
street-combat,snes,yes
street-fighter-alpha-2,snes,yes
street-fighter-ii-the-world-warrior,snes,yes
street-fighter-ii-turbo-hyper-fighting,snes,yes
street-hockey-95,snes,yes
street-racer,snes,yes
strike-gunner-stg,snes,yes
stunt-race-fx,snes,yes
sunset-riders,snes,yes
super-adventure-island,snes,yes
super-adventure-island-2,snes,yes
super-alfred-chicken,snes,yes
the-super-aquatic-games-starring-the-aquabats,snes,yes
